label,username,video_id,comment,clean_comment
1.0,,,Rezeki dari 𝘈𝐺𝑈S𝐓𝐎𝘛О-bikin senyum lebar hari ini. Terima kasih banyak!, rezeki dari agustoto-bikin senyum lebar hari ini  terima kasih banyak
1.0,,,Pecah banget di 𝘈𝐺𝑈S𝐓𝐎𝘛О, pecah banget di agustoto
1.0,,,"𝘈𝐺𝑈S𝐓𝐎𝘛О ini beda sih, gacornya kebangetan bikin nagih", agustoto ini beda sih  gacornya kebangetan bikin nagih
1.0,,,𝘈𝐺𝑈S𝐓𝐎𝘛Оmenyediakan ruang untuk kolaborasi dan kerja tim., agustotomenyediakan ruang untuk kolaborasi dan kerja tim
1.0,,,"Begitu mantap dan memuaskan! Bermain di 𝘈𝐺𝑈S𝐓𝐎𝘛О-selalu lancar tanpa hambatan, rezeki pun mengalir dengan sangat deras!", begitu mantap dan memuaskan  bermain di agustoto-selalu lancar tanpa hambatan  rezeki pun mengalir dengan sangat deras
1.0,,,Bermain di 𝘈𝐺𝑈S𝐓𝐎𝘛О-jadi bukti kalau keberuntungan bisa datang kapan aja!, bermain di agustoto-jadi bukti kalau keberuntungan bisa datang kapan aja
1.0,,,Beberapa pemain melaporkan pengalaman positif dengan 𝘈𝐺𝑈S𝐓𝐎𝘛О., beberapa pemain melaporkan pengalaman positif dengan agustoto
0.0,,,Rezeki dari noxus bikin senyum lebar hari ini. Terima kasih banyak!, rezeki dari noxus bikin senyum lebar hari ini  terima kasih banyak
1.0,,,●𝗠 𝗮 𝗻 𝘂 𝘁 𝟴 𝟴● Menghadirkan pengalaman yang berbeda dari biasanya, m a n u t 8 8  menghadirkan pengalaman yang berbeda dari biasanya
1.0,,,"Nggak salah pilih main di 𝘈𝐺𝑈S𝐓𝐎𝘛О,rezekinya ngalir terus. Top banget!", nggak salah pilih main di agustoto rezekinya ngalir terus  top banget
1.0,,,✯𝙈𝘼𝙉𝙐𝙏88✯Membuatku bersinar setiap saat, manut88 membuatku bersinar setiap saat
1.0,,,"Jakpot langsung mengalir begitu main di 𝘈𝐺𝑈S𝐓𝐎𝘛О,nggak bisa percaya!", jakpot langsung mengalir begitu main di agustoto nggak bisa percaya
1.0,,,Mantap videonya! Bikin semangat terus berkarya. 🤩 ᗷО𝑾𝕆𝟳７ denger-denger tempatnya para sultan ya? 👑, mantap videonya  bikin semangat terus berkarya    bowo77 denger-denger tempatnya para sultan ya
